elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
23.041,1196032,2605056,2605056
162.678,45039616,47071232,56807424
283.003,70246400,79515648,79515648
404.405,77467648,87265280,87265280
526.816,42962944,53714944,87572480
635.839,44331008,54710272,87572480
744.052,65568768,74178560,87715840
854.028,49287168,54996992,89079808
964.689,49238016,56074240,89079808
1073.259,48173056,56352768,92393472
1183.405,47820800,56111104,92393472
1294.125,58023936,67227648,92647424
1404.274,71692288,81444864,92647424
1510.724,77950976,87429120,92889088
1622.616,79998976,89083904,92889088
1732.342,46198784,56479744,92889088
1843.958,47083520,56672256,92889088
1954.068,66662400,75755520,92889088
2063.162,78675968,88068096,92889088
2174.465,78929920,88322048,92889088
2300.090,74264576,83431424,92995584
2425.757,53911552,58638336,93016064
2551.555,58716160,67411968,93642752
2676.954,78888960,88260608,93642752
2803.004,52961280,59924480,93642752
2929.133,69201920,76541952,93646848
3055.183,78962688,88780800,93646848
3178.632,61018112,61759488,93917184
3303.578,93659136,103813120,103813120
3428.358,243130368,249597952,249597952
3553.914,213811200,219807744,313987072
3679.511,178495488,183734272,313987072
3805.072,122830848,117608448,313987072
3915.204,96907264,106131456,313987072
4026.067,129716224,134336512,313987072
4135.384,106586112,105029632,313987072
4245.556,132157440,135925760,313987072
4356.509,91553792,98643968,313987072
4466.650,114245632,121012224,313987072
4575.094,131342336,135901184,313987072
4685.729,91521024,98889728,313987072
4795.419,88539136,96976896,313987072
4905.688,88457216,96096256,313987072
5015.432,107888640,113438720,313987072
5125.167,132820992,139370496,313987072
5233.259,85950464,95051776,313987072
5342.059,131960832,137388032,313987072
5452.247,86200320,94285824,313987072
5560.844,132440064,137691136,313987072
5670.775,133459968,141115392,313987072
5778.608,133505024,141590528,313987072
5888.819,133685248,142168064,313987072
5998.294,120483840,126697472,313987072
6107.420,135331840,140779520,313987072
6216.992,135331840,142864384,313987072
6327.254,136364032,143462400,313987072
6436.729,136376320,143646720,313987072
6544.843,137285632,144302080,313987072
6654.399,137285632,144588800,313987072
6764.759,137342976,144224256,313987072
6873.507,137351168,144752640,313987072
6981.376,96980992,98275328,313987072
7089.793,117395456,124432384,313987072
7200.423,134721536,141877248,313987072
7309.191,135102464,142491648,313987072
7418.333,135102464,142295040,313987072
7528.682,101244928,108285952,313987072
7636.975,123412480,130732032,313987072
7747.287,135036928,142954496,313987072
7857.275,135036928,143028224,313987072
7967.174,136114176,143941632,313987072
8076.530,136114176,144166912,313987072
8187.621,136192000,144310272,313987072
8298.604,136192000,144277504,313987072
8408.440,136220672,144474112,313987072
8516.174,136220672,144228352,313987072
8627.536,136376320,144531456,313987072
8736.602,136376320,144351232,313987072
8863.381,136458240,144846848,313987072
8986.648,136458240,144760832,313987072
9112.374,101998592,109203456,313987072
9237.671,134701056,140578816,313987072
9362.335,134750208,141901824,313987072
9488.476,134791168,142667776,313987072
9615.032,134979584,143450112,313987072
9740.459,136962048,144654336,313987072
9864.122,136970240,145047552,313987072
9990.542,137060352,145195008,313987072
10114.363,137060352,144879616,313987072
10238.345,137129984,145285120,313987072
10363.271,137129984,144990208,313987072
10488.590,137162752,145371136,313987072
10612.770,137175040,145084416,313987072
10737.910,137363456,145694720,313987072
10863.397,137445376,145428480,313987072
10987.470,137453568,145735680,313987072
11113.331,150241280,159358976,313987072
11237.284,165076992,169377792,313987072
11360.151,298168320,300892160,313987072
11471.594,421138432,419954688,419954688
11595.724,335552512,336252928,431857664
11704.463,356966400,350642176,431857664
11813.211,273973248,275582976,431857664
11923.747,278024192,269238272,431857664
12033.629,244400128,248528896,431857664
12143.694,244400128,248655872,431857664
12268.101,243351552,248238080,431857664
12394.357,243351552,248295424,431857664
12519.516,242061312,246947840,431857664
12645.466,242061312,247148544,431857664
12772.642,242061312,246984704,431857664
12899.460,242061312,247185408,431857664
13023.338,242061312,247005184,431857664
13148.206,242061312,247119872,431857664
13258.491,242061312,247128064,431857664
13369.380,242061312,247156736,431857664
13478.967,242061312,247185408,431857664
13588.598,242061312,247103488,431857664
