elapsed_ms,private_bytes,working_set_bytes,os_peak_working_set_bytes
123.765,1208320,2551808,2551808
253.471,34349056,38703104,56958976
376.445,68071424,77639680,77639680
485.275,78856192,89178112,89178112
594.981,79523840,89804800,89804800
705.738,79720448,89817088,89870336
815.067,79675392,89993216,89993216
926.911,80191488,90337280,90337280
1036.609,81035264,91004928,91258880
1146.841,59924480,69808128,95256576
1256.526,50229248,60735488,96104448
1367.394,52219904,63324160,96333824
1477.701,65339392,74694656,96456704
1587.261,81985536,92045312,96784384
1711.534,55869440,62861312,96784384
1821.082,57040896,63574016,96866304
1931.577,65798144,71274496,97136640
2057.647,83664896,93499392,97624064
2184.837,83509248,93454336,98156544
2310.428,58351616,65097728,98643968
2436.439,58720256,67923968,98660352
2561.402,83947520,94175232,98717696
2686.828,57430016,66310144,99205120
2811.435,63053824,70438912,99700736
2936.235,84008960,94388224,99700736
3061.134,57864192,68120576,100560896
3187.074,62771200,72757248,100933632
3312.397,85807104,95719424,101621760
3435.979,144822272,154882048,154882048
3560.413,292360192,298188800,298188800
3684.232,161910784,170954752,320720896
3810.423,80691200,88104960,320720896
3934.820,87056384,92168192,320720896
4060.326,118554624,124715008,320720896
4183.396,97431552,106672128,320720896
4311.862,134115328,139059200,320720896
4437.720,114712576,123961344,320720896
4561.182,133234688,138661888,320720896
4684.428,137281536,143630336,320720896
4811.064,132980736,139284480,320720896
4936.722,136146944,142069760,320720896
5047.435,95940608,102256640,320720896
5169.931,120885248,127528960,320720896
5295.452,92037120,102072320,320720896
5420.826,128626688,134963200,320720896
5543.897,137732096,144343040,320720896
5668.444,134901760,140144640,320720896
5795.219,137785344,144461824,320720896
5921.067,135294976,140902400,320720896
6046.777,93282304,103153664,320720896
6171.882,139390976,141639680,320720896
6281.543,140439552,146731008,320720896
6392.246,140439552,147251200,320720896
6502.888,140554240,147861504,320720896
6611.711,137506816,142589952,320720896
6720.401,140578816,147189760,320720896
6830.005,141123584,147693568,320720896
6940.139,94969856,105095168,320720896
7051.587,137097216,141357056,320720896
7161.314,140759040,146989056,320720896
7269.302,145555456,149893120,320720896
7379.159,141406208,148357120,320720896
7488.692,141422592,148086784,320720896
7598.423,143429632,149983232,320720896
7708.544,142356480,148746240,320720896
7818.495,142364672,149319680,320720896
7928.246,136032256,142483456,320720896
8035.921,122978304,130207744,320720896
8144.914,140058624,145612800,320720896
8253.993,140099584,146587648,320720896
8363.626,140992512,147062784,320720896
8473.708,140992512,147517440,320720896
8583.141,141000704,147062784,320720896
8691.383,141012992,147644416,320720896
8799.048,141012992,147484672,320720896
8909.545,141021184,148062208,320720896
9020.301,141037568,148340736,320720896
9128.069,141037568,148611072,320720896
9239.326,141053952,148865024,320720896
9349.567,141053952,149143552,320720896
9460.244,141070336,149217280,320720896
9569.193,141070336,149700608,320720896
9679.139,140967936,149368832,320720896
9789.759,140967936,149708800,320720896
9899.601,142053376,150278144,320720896
10009.347,112128000,121020416,320720896
10133.841,140771328,146792448,320720896
10243.914,140800000,148070400,320720896
10368.402,141250560,148660224,320720896
10493.520,141250560,149213184,320720896
10619.721,142340096,150691840,320720896
10744.649,142340096,150220800,320720896
10867.357,170221568,180649984,320720896
10976.523,226938880,232869888,320720896
11086.642,360960000,363290624,363290624
11197.690,426790912,425897984,439377920
11322.087,357740544,351318016,439377920
11448.738,336998400,340287488,439377920
11575.207,148439040,125157376,439377920
11700.011,158502912,136220672,439377920
11823.364,172244992,152403968,439377920
11946.669,206036992,187072512,439377920
12071.450,208134144,189759488,439377920
12180.780,208134144,189837312,439377920
12291.220,209514496,195403776,439377920
12417.314,210661376,196513792,439377920
12543.394,209522688,195870720,439377920
12668.081,209547264,196059136,439377920
12792.933,209555456,196562944,439377920
12918.683,209555456,196751360,439377920
13045.677,209596416,197275648,439377920
13170.859,209596416,197349376,439377920
13294.545,209604608,197353472,439377920
13419.744,208326656,196984832,439377920
13545.054,209010688,198111232,439377920
13669.485,209010688,198234112,439377920
13792.531,209924096,198254592,439377920
13919.606,209924096,198328320,439377920
14046.511,210620416,199548928,439377920
14172.262,210620416,199569408,439377920
14295.925,210620416,199753728,439377920
14421.060,210620416,199774208,439377920
14546.853,210620416,199737344,439377920
14672.120,210620416,199913472,439377920
14796.326,216932352,203055104,439377920
14921.985,210620416,200192000,439377920
15046.227,211677184,201175040,439377920
15156.785,210628608,200228864,439377920
15268.102,210628608,200253440,439377920
15376.371,210628608,200859648,439377920
15486.177,211775488,201093120,439377920
15595.835,210628608,200810496,439377920
15707.904,210640896,200921088,439377920
15817.733,210640896,200867840,439377920
15925.284,211390464,201641984,439377920
16035.272,211390464,201703424,439377920
16144.008,211390464,201687040,439377920
16253.732,211423232,201740288,439377920
16362.425,211423232,201740288,439377920
16474.115,211423232,202133504,439377920
16584.629,212570112,202457088,439377920
16694.474,211423232,202100736,439377920
16804.274,211423232,202186752,439377920
16915.855,211423232,202170368,439377920
17042.038,212267008,202215424,439377920
17169.055,212267008,202194944,439377920
17294.983,212267008,202223616,439377920
17422.716,212267008,202174464,439377920
17532.727,212267008,202895360,439377920
17641.631,212267008,202911744,439377920
17751.331,212267008,202915840,439377920
17860.301,212267008,202956800,439377920
17970.495,212267008,203227136,439377920
18092.773,211193856,202747904,439377920
18217.730,211193856,202747904,439377920
18344.972,211193856,202784768,439377920
18455.343,211193856,202797056,439377920
18565.488,211193856,202792960,439377920
18674.943,211193856,202797056,439377920
18785.202,215400448,205541376,439377920
18895.158,211193856,202821632,439377920
19006.270,211193856,202829824,439377920
19116.570,211193856,202846208,439377920
19226.560,211193856,202850304,439377920
19335.555,211193856,202809344,439377920
19445.228,211193856,202842112,439377920
19556.302,211193856,202862592,439377920
19683.474,211996672,203657216,439377920
19809.794,211996672,203677696,439377920
19936.571,225939456,219234304,439377920
20062.626,238477312,239116288,439377920
20185.736,77139968,84541440,439377920
20309.164,86462464,95215616,439377920
20434.458,103411712,111378432,439377920
20560.429,106885120,114872320,439377920
20686.888,106893312,115187712,439377920
20812.981,107704320,115728384,439377920
20922.765,107712512,116060160,439377920
21032.556,107712512,116482048,439377920
21141.720,107712512,116539392,439377920
21253.141,108445696,116535296,439377920
21362.400,108109824,116649984,439377920
21472.937,108920832,117596160,439377920
21583.084,108920832,117592064,439377920
21693.288,108920832,117596160,439377920
21803.948,110559232,118206464,439377920
21913.778,111427584,118386688,439377920
22024.195,111427584,118689792,439377920
22134.757,112574464,119742464,439377920
22260.344,112574464,120147968,439377920
22383.182,112574464,119222272,439377920
22494.384,111636480,119545856,439377920
22617.185,113741824,121393152,439377920
